Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Created,Resolved,Component/s,Labels,Custom field (Story Points),Custom field (Blocked),Custom field (Flagged),Custom field (Age),Sprint,Priority,Custom field (Epic Link),Outward issue link (Dependency),Inward issue link (Dependency)
[Alpha Squad] Sample work item 1025,AIOP-1025,10001025,Story,Done,AIOP,Perception & Parking SW Group,11/Dec/25 5:35 PM,19/Dec/25 5:35 PM,Alpha Squad,ml,5,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Won't (4),AIOP-170,,
[Alpha Squad] Sample work item 1026,AIOP-1026,10001026,Story,Done,AIOP,Perception & Parking SW Group,9/Dec/25 1:49 PM,14/Dec/25 1:49 PM,Alpha Squad,tech-debt,3,,,,PMD_25PI4_Sprint3 [COMPLETED],Could (3),AIOP-142,,
[Alpha Squad] Sample work item 1027,AIOP-1027,10001027,Story,Done,AIOP,Perception & Parking SW Group,11/Dec/25 2:34 PM,24/Dec/25 2:34 PM,Alpha Squad,,5,,,,PMD_25PI4_Sprint3 [COMPLETED] + Sprint4 [COMPLETED],Must (1),AIOP-197,,
[Alpha Squad] Sample work item 1028,AIOP-1028,10001028,Story,To Do,AIOP,Perception & Parking SW Group,11/Dec/25 3:34 PM,,Alpha Squad,frontend,5,,,151,PMD_25PI4_Sprint3 [ACTIVE],Could (3),AIOP-155,,
[Alpha Squad] Sample work item 1029,AIOP-1029,10001029,Story,Implementing,AIOP,Perception & Parking SW Group,11/Dec/25 9:05 AM,,Alpha Squad,frontend,1,,,152,PMD_25PI4_Sprint3 [ACTIVE],Won't (4),AIOP-141,,
[Alpha Squad] Sample work item 1030,AIOP-1030,10001030,Story,Done,AIOP,Perception & Parking SW Group,15/Dec/25 4:01 PM,26/Dec/25 4:01 PM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint4 [COMPLETED],Must (1),AIOP-199,,AIOP-1000
[Alpha Squad] Sample work item 1031,AIOP-1031,10001031,Story,Done,AIOP,Perception & Parking SW Group,15/Dec/25 11:15 AM,21/Dec/25 11:15 AM,Alpha Squad,tech-debt,3,,,,PMD_25PI4_Sprint4 [COMPLETED],Could (3),AIOP-121,,
[Alpha Squad] Sample work item 1032,AIOP-1032,10001032,Bug,Review,AIOP,Perception & Parking SW Group,16/Dec/25 1:06 PM,,Alpha Squad,ml,5,,,146,PMD_25PI4_Sprint4 [ACTIVE],Should (2),AIOP-109,,
[Alpha Squad] Sample work item 1033,AIOP-1033,10001033,Story,In Progress,AIOP,Perception & Parking SW Group,17/Dec/25 10:32 AM,,Alpha Squad,,5,,,146,PMD_25PI4_Sprint4 [ACTIVE],Won't (4),AIOP-146,,
[Alpha Squad] Sample work item 1034,AIOP-1034,10001034,Story,Done,AIOP,Perception & Parking SW Group,26/Dec/25 4:29 PM,4/Jan/26 4:29 PM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Should (2),AIOP-111,,
[Alpha Squad] Sample work item 1035,AIOP-1035,10001035,Bug,Review,AIOP,Perception & Parking SW Group,25/Dec/25 2:01 PM,,Alpha Squad,frontend,3,,,137,PMD_25PI4_Sprint4 [ACTIVE],Could (3),AIOP-143,,
[Alpha Squad] Sample work item 1036,AIOP-1036,10001036,Bug,Done,AIOP,Perception & Parking SW Group,26/Dec/25 12:05 PM,30/Dec/25 12:05 PM,Alpha Squad,ml,8,,,,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],Won't (4),AIOP-157,,AIOP-1014
[Alpha Squad] Sample work item 1037,AIOP-1037,10001037,Bug,Review,AIOP,Perception & Parking SW Group,24/Dec/25 3:47 PM,,Alpha Squad,infra,3,,,138,PMD_25PI4_Sprint4 [ACTIVE],Should (2),AIOP-115,,
[Alpha Squad] Sample work item 1038,AIOP-1038,10001038,Spike,Review,AIOP,Perception & Parking SW Group,23/Dec/25 12:13 PM,,Alpha Squad,,5,,,140,PMD_25PI4_Sprint4 [ACTIVE],Could (3),AIOP-112,,
[Alpha Squad] Sample work item 1039,AIOP-1039,10001039,Task,Done,AIOP,Perception & Parking SW Group,2/Jan/26 1:30 PM,5/Jan/26 1:30 PM,Alpha Squad,,5,,,,PMD_25PI4_Sprint5 [COMPLETED],Must (1),AIOP-151,,
[Alpha Squad] Sample work item 1040,AIOP-1040,10001040,Spike,Done,AIOP,Perception & Parking SW Group,29/Dec/25 5:48 PM,2/Jan/26 5:48 PM,Alpha Squad,ml,5,,,,PMD_25PI4_Sprint5 [COMPLETED],Won't (4),AIOP-138,,
[Alpha Squad] Sample work item 1041,AIOP-1041,10001041,Bug,Done,AIOP,Perception & Parking SW Group,31/Dec/25 10:10 AM,6/Jan/26 10:10 AM,Alpha Squad,tech-debt,5,,,,PMD_25PI4_Sprint5 [COMPLETED],Could (3),AIOP-104,,
[Alpha Squad] Sample work item 1042,AIOP-1042,10001042,Story,To Do,AIOP,Perception & Parking SW Group,30/Dec/25 1:50 PM,,Alpha Squad,frontend,5,,,132,PMD_25PI4_Sprint5 [ACTIVE],Should (2),AIOP-182,,
[Alpha Squad] Sample work item 1043,AIOP-1043,10001043,Story,Blocked,AIOP,Perception & Parking SW Group,31/Dec/25 3:17 PM,,Alpha Squad,data-pipeline,1,,,131,PMD_25PI4_Sprint5 [ACTIVE],Won't (4),AIOP-194,,
[Alpha Squad] Sample work item 1044,AIOP-1044,10001044,Story,Done,AIOP,Perception & Parking SW Group,7/Jan/26 11:37 AM,18/Jan/26 11:37 AM,Alpha Squad,ml,3,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Must (1),AIOP-120,,
[Alpha Squad] Sample work item 1045,AIOP-1045,10001045,Story,Blocked,AIOP,Perception & Parking SW Group,7/Jan/26 2:07 PM,,Alpha Squad,,,,,124,PMD_25PI4_Sprint5 [ACTIVE],Won't (4),AIOP-152,AIOP-1033,
[Alpha Squad] Sample work item 1046,AIOP-1046,10001046,Bug,Review,AIOP,Perception & Parking SW Group,5/Jan/26 12:17 PM,,Alpha Squad,tech-debt,5,,,126,PMD_25PI4_Sprint5 [ACTIVE],Must (1),AIOP-180,,
[Alpha Squad] Sample work item 1047,AIOP-1047,10001047,Story,Done,AIOP,Perception & Parking SW Group,7/Jan/26 5:45 PM,14/Jan/26 5:45 PM,Alpha Squad,ml,3,,,,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],Should (2),AIOP-149,,
[Alpha Squad] Sample work item 1048,AIOP-1048,10001048,Story,Blocked,AIOP,Perception & Parking SW Group,5/Jan/26 1:49 PM,,Alpha Squad,,5,,,126,PMD_25PI4_Sprint5 [ACTIVE],Must (1),AIOP-136,,
[Alpha Squad] Sample work item 1049,AIOP-1049,10001049,Task,Blocked,AIOP,Perception & Parking SW Group,6/Jan/26 3:14 PM,,Alpha Squad,tech-debt,5,Impediment,,125,PMD_25PI4_Sprint5 [ACTIVE],Won't (4),AIOP-149,,
[Alpha Squad] Sample work item 1050,AIOP-1050,10001050,Story,Done,AIOP,Perception & Parking SW Group,15/Jan/26 9:46 AM,24/Jan/26 9:46 AM,Alpha Squad,frontend,2,,,,PMD_25PI4_Sprint6 [COMPLETED],Could (3),AIOP-143,,
[Alpha Squad] Sample work item 1051,AIOP-1051,10001051,Task,Review,AIOP,Perception & Parking SW Group,12/Jan/26 10:15 AM,,Alpha Squad,tech-debt,2,,,120,PMD_25PI4_Sprint6 [ACTIVE],Must (1),AIOP-197,,
[Alpha Squad] Sample work item 1052,AIOP-1052,10001052,Story,Done,AIOP,Perception & Parking SW Group,15/Jan/26 11:15 AM,18/Jan/26 11:15 AM,Alpha Squad,backend,5,,,,PMD_25PI4_Sprint6 [COMPLETED],Won't (4),AIOP-179,,
[Alpha Squad] Sample work item 1053,AIOP-1053,10001053,Story,Done,AIOP,Perception & Parking SW Group,12/Jan/26 4:57 PM,18/Jan/26 4:57 PM,Alpha Squad,data-pipeline,3,,,,PMD_25PI4_Sprint6 [COMPLETED],Won't (4),AIOP-188,,
[Alpha Squad] Sample work item 1054,AIOP-1054,10001054,Story,Funnel,AIOP,Perception & Parking SW Group,14/Jan/26 1:44 PM,,Alpha Squad,backend,5,,,117,PMD_25PI4_Sprint6 [ACTIVE],Must (1),AIOP-177,,
[Alpha Squad] Sample work item 1055,AIOP-1055,10001055,Story,Done,AIOP,Perception & Parking SW Group,20/Jan/26 1:43 PM,25/Jan/26 1:43 PM,Alpha Squad,tech-debt,13,,,,PMD_25PI4_Sprint6 [COMPLETED],Must (1),AIOP-180,,
[Alpha Squad] Sample work item 1056,AIOP-1056,10001056,Story,Done,AIOP,Perception & Parking SW Group,23/Jan/26 2:33 PM,29/Jan/26 2:33 PM,Alpha Squad,frontend,3,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Won't (4),AIOP-137,,
[Alpha Squad] Sample work item 1057,AIOP-1057,10001057,Story,Blocked,AIOP,Perception & Parking SW Group,22/Jan/26 9:16 AM,,Alpha Squad,tech-debt,8,,,110,PMD_25PI4_Sprint6 [ACTIVE],Won't (4),AIOP-181,,
[Alpha Squad] Sample work item 1058,AIOP-1058,10001058,Task,Done,AIOP,Perception & Parking SW Group,21/Jan/26 3:07 PM,31/Jan/26 3:07 PM,Alpha Squad,backend,3,,,,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],Should (2),AIOP-149,,
[Alpha Squad] Sample work item 1059,AIOP-1059,10001059,Task,In Progress,AIOP,Perception & Parking SW Group,22/Jan/26 11:56 AM,,Alpha Squad,data-pipeline,5,,,110,PMD_25PI4_Sprint6 [ACTIVE],Could (3),AIOP-104,,
[Alpha Squad] Sample work item 1060,AIOP-1060,10001060,Story,Blocked,AIOP,Perception & Parking SW Group,21/Jan/26 12:07 PM,,Alpha Squad,frontend,8,,,111,PMD_25PI4_Sprint6 [ACTIVE],Must (1),AIOP-106,,
[Alpha Squad] Sample work item 1061,AIOP-1061,10001061,Story,Done,AIOP,Perception & Parking SW Group,27/Jan/26 11:34 AM,6/Feb/26 11:34 AM,Alpha Squad,backend,3,Impediment,,,PMD_25PI4_Sprint7 [COMPLETED],Could (3),AIOP-102,,AIOP-1047
[Alpha Squad] Sample work item 1062,AIOP-1062,10001062,Bug,Done,AIOP,Perception & Parking SW Group,30/Jan/26 10:28 AM,7/Feb/26 10:28 AM,Alpha Squad,,8,,,,PMD_25PI4_Sprint7 [COMPLETED],Could (3),AIOP-158,,AIOP-1030
[Alpha Squad] Sample work item 1063,AIOP-1063,10001063,Story,In Progress,AIOP,Perception & Parking SW Group,26/Jan/26 4:45 PM,,Alpha Squad,infra,5,,,105,PMD_25PI4_Sprint7 [ACTIVE],Must (1),AIOP-116,,
[Alpha Squad] Sample work item 1064,AIOP-1064,10001064,Story,Blocked,AIOP,Perception & Parking SW Group,26/Jan/26 5:46 PM,,Alpha Squad,frontend,5,,,105,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-151,,AIOP-1054
[Alpha Squad] Sample work item 1065,AIOP-1065,10001065,Story,Done,AIOP,Perception & Parking SW Group,28/Jan/26 11:35 AM,6/Feb/26 11:35 AM,Alpha Squad,data-pipeline,3,,,,PMD_25PI4_Sprint7 [COMPLETED],Must (1),AIOP-152,,
[Alpha Squad] Sample work item 1066,AIOP-1066,10001066,Task,In Progress,AIOP,Perception & Parking SW Group,26/Jan/26 1:38 PM,,Alpha Squad,frontend,2,,,105,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-128,,
[Alpha Squad] Sample work item 1067,AIOP-1067,10001067,Story,Done,AIOP,Perception & Parking SW Group,28/Jan/26 2:22 PM,1/Feb/26 2:22 PM,Alpha Squad,data-pipeline,8,,,,PMD_25PI4_Sprint7 [COMPLETED],Must (1),AIOP-118,,
[Alpha Squad] Sample work item 1068,AIOP-1068,10001068,Bug,In Progress,AIOP,Perception & Parking SW Group,2/Feb/26 11:10 AM,,Alpha Squad,infra,5,,,99,PMD_25PI4_Sprint7 [ACTIVE],Won't (4),AIOP-162,,
[Alpha Squad] Sample work item 1069,AIOP-1069,10001069,Story,Done,AIOP,Perception & Parking SW Group,6/Feb/26 9:00 AM,15/Feb/26 9:00 AM,Alpha Squad,,2,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Could (3),AIOP-137,,AIOP-1055
[Alpha Squad] Sample work item 1070,AIOP-1070,10001070,Story,Done,AIOP,Perception & Parking SW Group,2/Feb/26 3:01 PM,9/Feb/26 3:01 PM,Alpha Squad,infra,5,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Won't (4),AIOP-190,,
[Alpha Squad] Sample work item 1071,AIOP-1071,10001071,Story,To Do,AIOP,Perception & Parking SW Group,2/Feb/26 12:27 PM,,Alpha Squad,,3,,,98,PMD_25PI4_Sprint7 [ACTIVE],Could (3),AIOP-128,,
[Alpha Squad] Sample work item 1072,AIOP-1072,10001072,Story,Done,AIOP,Perception & Parking SW Group,3/Feb/26 1:12 PM,13/Feb/26 1:12 PM,Alpha Squad,,8,,,,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],Won't (4),AIOP-196,,
[Alpha Squad] Sample work item 1073,AIOP-1073,10001073,Story,Review,AIOP,Perception & Parking SW Group,5/Feb/26 4:40 PM,,Alpha Squad,infra,5,,,95,PMD_25PI4_Sprint7 [ACTIVE],Could (3),AIOP-159,,AIOP-1036
[Alpha Squad] Sample work item 1074,AIOP-1074,10001074,Story,Blocked,AIOP,Perception & Parking SW Group,5/Feb/26 5:09 PM,,Alpha Squad,,3,,,95,PMD_25PI4_Sprint7 [ACTIVE],Must (1),AIOP-164,,AIOP-1056
[Alpha Squad] Sample work item 1075,AIOP-1075,10001075,Story,Blocked,AIOP,Perception & Parking SW Group,10/Feb/26 2:23 PM,,Alpha Squad,infra,8,,,90,PMD_25PI4_Sprint8 [ACTIVE],Must (1),AIOP-180,,AIOP-1012
[Alpha Squad] Sample work item 1076,AIOP-1076,10001076,Bug,Blocked,AIOP,Perception & Parking SW Group,11/Feb/26 1:41 PM,,Alpha Squad,tech-debt,,,,89,PMD_25PI4_Sprint8 [ACTIVE],Could (3),AIOP-171,,
[Alpha Squad] Sample work item 1077,AIOP-1077,10001077,Bug,To Do,AIOP,Perception & Parking SW Group,13/Feb/26 10:41 AM,,Alpha Squad,infra,3,,,88,PMD_25PI4_Sprint8 [ACTIVE],Should (2),AIOP-143,,
[Alpha Squad] Sample work item 1078,AIOP-1078,10001078,Task,Done,AIOP,Perception & Parking SW Group,13/Feb/26 9:42 AM,21/Feb/26 9:42 AM,Alpha Squad,frontend,2,,,,PMD_25PI4_Sprint8 [COMPLETED],Should (2),AIOP-192,,
[Alpha Squad] Sample work item 1079,AIOP-1079,10001079,Story,Implementing,AIOP,Perception & Parking SW Group,10/Feb/26 1:51 PM,,Alpha Squad,data-pipeline,,,,90,PMD_25PI4_Sprint8 [ACTIVE],Won't (4),AIOP-198,,
[Alpha Squad] Sample work item 1080,AIOP-1080,10001080,Bug,Done,AIOP,Perception & Parking SW Group,9/Feb/26 5:54 PM,12/Feb/26 5:54 PM,Alpha Squad,frontend,3,,,,PMD_25PI4_Sprint8 [COMPLETED],Should (2),AIOP-155,AIOP-1028,
[Alpha Squad] Sample work item 1081,AIOP-1081,10001081,Story,Done,AIOP,Perception & Parking SW Group,17/Feb/26 3:05 PM,23/Feb/26 3:05 PM,Alpha Squad,backend,13,Impediment,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Should (2),AIOP-117,AIOP-1060,
[Alpha Squad] Sample work item 1082,AIOP-1082,10001082,Task,Done,AIOP,Perception & Parking SW Group,20/Feb/26 5:27 PM,28/Feb/26 5:27 PM,Alpha Squad,infra,2,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Should (2),AIOP-153,,
[Alpha Squad] Sample work item 1083,AIOP-1083,10001083,Story,Implementing,AIOP,Perception & Parking SW Group,16/Feb/26 2:15 PM,,Alpha Squad,backend,5,,,84,PMD_25PI4_Sprint8 [ACTIVE],Could (3),AIOP-108,,
[Alpha Squad] Sample work item 1084,AIOP-1084,10001084,Story,Done,AIOP,Perception & Parking SW Group,16/Feb/26 3:55 PM,23/Feb/26 3:55 PM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],Must (1),AIOP-145,,
[Alpha Squad] Sample work item 1085,AIOP-1085,10001085,Bug,Done,AIOP,Perception & Parking SW Group,20/Feb/26 2:08 PM,22/Feb/26 2:08 PM,Alpha Squad,,8,,,,PMD_25PI4_Sprint8 [COMPLETED],Won't (4),AIOP-180,,
[Alpha Squad] Sample work item 1086,AIOP-1086,10001086,Task,Done,AIOP,Perception & Parking SW Group,16/Feb/26 1:12 PM,22/Feb/26 1:12 PM,Alpha Squad,backend,3,,,,PMD_25PI4_Sprint8 [COMPLETED],Could (3),AIOP-165,,
[Alpha Squad] Sample work item 1087,AIOP-1087,10001087,Story,Done,AIOP,Perception & Parking SW Group,25/Feb/26 3:56 PM,26/Feb/26 3:56 PM,Alpha Squad,frontend,5,,,,PMD_25PI4_Sprint9 [COMPLETED],Won't (4),AIOP-147,,
[Alpha Squad] Sample work item 1088,AIOP-1088,10001088,Bug,Implementing,AIOP,Perception & Parking SW Group,23/Feb/26 3:38 PM,,Alpha Squad,infra,2,,,77,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-184,,
[Alpha Squad] Sample work item 1089,AIOP-1089,10001089,Story,Done,AIOP,Perception & Parking SW Group,26/Feb/26 2:28 PM,8/Mar/26 2:28 PM,Alpha Squad,infra,5,,,,PMD_25PI4_Sprint9 [COMPLETED],Won't (4),AIOP-135,,
[Alpha Squad] Sample work item 1090,AIOP-1090,10001090,Task,Done,AIOP,Perception & Parking SW Group,26/Feb/26 9:08 AM,10/Mar/26 9:08 AM,Alpha Squad,infra,3,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Must (1),AIOP-177,,
[Alpha Squad] Sample work item 1091,AIOP-1091,10001091,Bug,Blocked,AIOP,Perception & Parking SW Group,24/Feb/26 10:01 AM,,Alpha Squad,data-pipeline,2,,,77,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-190,,
[Alpha Squad] Sample work item 1092,AIOP-1092,10001092,Task,Done,AIOP,Perception & Parking SW Group,4/Mar/26 2:45 PM,10/Mar/26 2:45 PM,Alpha Squad,infra,13,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Should (2),AIOP-146,,
[Alpha Squad] Sample work item 1093,AIOP-1093,10001093,Task,In Progress,AIOP,Perception & Parking SW Group,6/Mar/26 11:39 AM,,Alpha Squad,tech-debt,8,,,67,PMD_25PI4_Sprint9 [ACTIVE],Won't (4),AIOP-198,,
[Alpha Squad] Sample work item 1094,AIOP-1094,10001094,Story,Blocked,AIOP,Perception & Parking SW Group,6/Mar/26 11:49 AM,,Alpha Squad,,1,,,67,PMD_25PI4_Sprint9 [ACTIVE],Must (1),AIOP-166,,
[Alpha Squad] Sample work item 1095,AIOP-1095,10001095,Story,Done,AIOP,Perception & Parking SW Group,4/Mar/26 5:05 PM,17/Mar/26 5:05 PM,Alpha Squad,data-pipeline,2,,,,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],Could (3),AIOP-172,AIOP-1003,AIOP-1082
[Alpha Squad] Sample work item 1096,AIOP-1096,10001096,Story,Blocked,AIOP,Perception & Parking SW Group,3/Mar/26 3:39 PM,,Alpha Squad,data-pipeline,3,,,69,PMD_25PI4_Sprint9 [ACTIVE],Could (3),AIOP-161,,
[Alpha Squad] Sample work item 1097,AIOP-1097,10001097,Story,Done,AIOP,Perception & Parking SW Group,11/Mar/26 2:25 PM,16/Mar/26 2:25 PM,Alpha Squad,ml,2,,,,PMD_25PI4_Sprint10 [COMPLETED],Won't (4),AIOP-131,,AIOP-1049
[Alpha Squad] Sample work item 1098,AIOP-1098,10001098,Story,Review,AIOP,Perception & Parking SW Group,10/Mar/26 2:59 PM,,Alpha Squad,frontend,5,,,62,PMD_25PI4_Sprint10 [ACTIVE],Won't (4),AIOP-163,,
[Alpha Squad] Sample work item 1099,AIOP-1099,10001099,Story,Funnel,AIOP,Perception & Parking SW Group,11/Mar/26 4:38 PM,,Alpha Squad,infra,5,,,61,PMD_25PI4_Sprint10 [ACTIVE],Must (1),AIOP-155,,
[Alpha Squad] Sample work item 1100,AIOP-1100,10001100,Story,Done,AIOP,Perception & Parking SW Group,13/Mar/26 4:48 PM,23/Mar/26 4:48 PM,Alpha Squad,data-pipeline,8,,,,PMD_25PI4_Sprint10 [COMPLETED] + Sprint11 [COMPLETED],Must (1),AIOP-116,,
