Hierarchy,Title,Project,Releases,Team,Assignee,Sprint,Target start date,Target end date,Due date,Story points,Parent,Priority,Labels,Components,Issue key,Issue status,Progress (%),Progress completed (sp),Progress remaining (sp),Progress (%) issue count (IC),To do IC,In progress IC,Done IC,Total IC,RAG
Story,[Alpha Squad] Sample work item 1022,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint3 [COMPLETED],1/Dec/25,8/Dec/25,,3,,Could (3),tech-debt,Alpha Squad,AIOP-1022,Done,100,3,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1023,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint3 [COMPLETED],3/Dec/25,12/Dec/25,,5,,Should (2),data-pipeline,Alpha Squad,AIOP-1023,Done,100,5,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1024,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint3 [ACTIVE],30/Nov/25,5/Dec/25,,5,,Should (2),tech-debt,Alpha Squad,AIOP-1024,In Progress,66,,5,59,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1026,Perception & Parking SW Group,,Alpha Squad,user3,PMD_25PI4_Sprint3 [COMPLETED],6/Dec/25,14/Dec/25,,3,,Should (2),tech-debt,Alpha Squad,AIOP-1026,Done,100,3,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1028,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint3 [ACTIVE],5/Dec/25,14/Dec/25,,5,,Should (2),frontend,Alpha Squad,AIOP-1028,To Do,79,,5,68,1,0,0,1,Green
Story,[Alpha Squad] Sample work item 1032,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint4 [ACTIVE],12/Dec/25,18/Dec/25,,5,,Must (1),ml,Alpha Squad,AIOP-1032,Review,44,,5,68,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1036,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint4 [COMPLETED] + Sprint5 [COMPLETED],23/Dec/25,1/Jan/26,,8,,Won't (4),ml,Alpha Squad,AIOP-1036,Done,100,8,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1038,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint4 [ACTIVE],19/Dec/25,28/Dec/25,,5,,Could (3),,Alpha Squad,AIOP-1038,Review,16,,5,62,1,1,0,1,
Story,[Alpha Squad] Sample work item 1039,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint5 [COMPLETED],31/Dec/25,11/Jan/26,,5,,Must (1),,Alpha Squad,AIOP-1039,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1040,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint5 [COMPLETED],29/Dec/25,4/Jan/26,,5,,Should (2),ml,Alpha Squad,AIOP-1040,Done,100,5,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1042,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint5 [ACTIVE],30/Dec/25,6/Jan/26,,5,,Could (3),frontend,Alpha Squad,AIOP-1042,To Do,56,,5,15,1,0,0,1,
Story,[Alpha Squad] Sample work item 1043,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint5 [ACTIVE],31/Dec/25,10/Jan/26,,1,,Should (2),data-pipeline,Alpha Squad,AIOP-1043,Blocked,60,,1,66,1,1,0,1,
Story,[Alpha Squad] Sample work item 1044,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint5 [COMPLETED] + Sprint6 [COMPLETED],1/Jan/26,5/Jan/26,,3,,Won't (4),ml,Alpha Squad,AIOP-1044,Done,100,3,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1046,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint5 [ACTIVE],5/Jan/26,12/Jan/26,,5,,Won't (4),tech-debt,Alpha Squad,AIOP-1046,Review,15,,5,19,1,1,0,1,Red
Story,[Alpha Squad] Sample work item 1048,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint5 [ACTIVE],29/Dec/25,7/Jan/26,,5,,Won't (4),,Alpha Squad,AIOP-1048,Blocked,58,,5,41,1,1,0,1,
Story,[Alpha Squad] Sample work item 1049,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint5 [ACTIVE],4/Jan/26,10/Jan/26,,5,,Should (2),tech-debt,Alpha Squad,AIOP-1049,Blocked,64,,5,75,1,1,0,1,
Story,[Alpha Squad] Sample work item 1050,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint6 [COMPLETED],10/Jan/26,19/Jan/26,,2,,Won't (4),frontend,Alpha Squad,AIOP-1050,Done,100,2,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1051,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint6 [ACTIVE],8/Jan/26,13/Jan/26,,2,,Could (3),tech-debt,Alpha Squad,AIOP-1051,Review,7,,2,37,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1052,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint6 [COMPLETED],12/Jan/26,18/Jan/26,,5,,Won't (4),backend,Alpha Squad,AIOP-1052,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1053,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint6 [COMPLETED],6/Jan/26,13/Jan/26,,3,,Should (2),data-pipeline,Alpha Squad,AIOP-1053,Done,100,3,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1055,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint6 [COMPLETED],15/Jan/26,22/Jan/26,,13,,Should (2),tech-debt,Alpha Squad,AIOP-1055,Done,100,13,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1056,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint6 [COMPLETED] + Sprint7 [COMPLETED],22/Jan/26,1/Feb/26,,3,,Could (3),frontend,Alpha Squad,AIOP-1056,Done,100,3,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1057,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint6 [ACTIVE],22/Jan/26,2/Feb/26,,8,,Should (2),tech-debt,Alpha Squad,AIOP-1057,Blocked,8,,8,59,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1059,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint6 [ACTIVE],19/Jan/26,26/Jan/26,,5,,Could (3),data-pipeline,Alpha Squad,AIOP-1059,In Progress,69,,5,45,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1060,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint6 [ACTIVE],18/Jan/26,28/Jan/26,,8,,Should (2),frontend,Alpha Squad,AIOP-1060,Blocked,42,,8,18,1,1,0,1,
Story,[Alpha Squad] Sample work item 1061,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint7 [COMPLETED],26/Jan/26,4/Feb/26,,3,,Won't (4),backend,Alpha Squad,AIOP-1061,Done,100,3,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1063,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint7 [ACTIVE],21/Jan/26,28/Jan/26,,5,,Won't (4),infra,Alpha Squad,AIOP-1063,In Progress,64,,5,77,1,1,0,1,
Story,[Alpha Squad] Sample work item 1064,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint7 [ACTIVE],22/Jan/26,29/Jan/26,,5,,Must (1),frontend,Alpha Squad,AIOP-1064,Blocked,10,,5,11,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1066,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint7 [ACTIVE],25/Jan/26,2/Feb/26,,2,,Could (3),frontend,Alpha Squad,AIOP-1066,In Progress,3,,2,23,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1067,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint7 [COMPLETED],25/Jan/26,31/Jan/26,,8,,Could (3),data-pipeline,Alpha Squad,AIOP-1067,Done,100,8,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1068,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint7 [ACTIVE],1/Feb/26,8/Feb/26,,5,,Could (3),infra,Alpha Squad,AIOP-1068,In Progress,5,,5,28,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1069,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],31/Jan/26,6/Feb/26,,2,,Must (1),,Alpha Squad,AIOP-1069,Done,100,2,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1070,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],28/Jan/26,6/Feb/26,,5,,Must (1),infra,Alpha Squad,AIOP-1070,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1071,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint7 [ACTIVE],1/Feb/26,12/Feb/26,,3,,Could (3),,Alpha Squad,AIOP-1071,To Do,44,,3,18,1,0,0,1,Green
Story,[Alpha Squad] Sample work item 1072,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint7 [COMPLETED] + Sprint8 [COMPLETED],29/Jan/26,8/Feb/26,,8,,Should (2),,Alpha Squad,AIOP-1072,Done,100,8,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1073,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint7 [ACTIVE],4/Feb/26,10/Feb/26,,5,,Won't (4),infra,Alpha Squad,AIOP-1073,Review,73,,5,24,1,1,0,1,
Story,[Alpha Squad] Sample work item 1075,Perception & Parking SW Group,,Alpha Squad,user3,PMD_25PI4_Sprint8 [ACTIVE],4/Feb/26,11/Feb/26,,8,,Could (3),infra,Alpha Squad,AIOP-1075,Blocked,10,,8,74,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1077,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint8 [ACTIVE],11/Feb/26,21/Feb/26,,3,,Must (1),infra,Alpha Squad,AIOP-1077,To Do,64,,3,69,1,0,0,1,
Story,[Alpha Squad] Sample work item 1078,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint8 [COMPLETED],10/Feb/26,17/Feb/26,,2,,Won't (4),frontend,Alpha Squad,AIOP-1078,Done,100,2,0,100,0,0,1,1,Red
Story,[Alpha Squad] Sample work item 1079,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint8 [ACTIVE],8/Feb/26,17/Feb/26,,,,Must (1),data-pipeline,Alpha Squad,AIOP-1079,Implementing,61,,,47,1,1,0,1,
Story,[Alpha Squad] Sample work item 1081,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],10/Feb/26,17/Feb/26,,13,,Should (2),backend,Alpha Squad,AIOP-1081,Done,100,13,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1082,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint8 [COMPLETED] + Sprint9 [COMPLETED],13/Feb/26,20/Feb/26,,2,,Should (2),infra,Alpha Squad,AIOP-1082,Done,100,2,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1086,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint8 [COMPLETED],16/Feb/26,24/Feb/26,,3,,Could (3),backend,Alpha Squad,AIOP-1086,Done,100,3,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1089,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint9 [COMPLETED],20/Feb/26,26/Feb/26,,5,,Should (2),infra,Alpha Squad,AIOP-1089,Done,100,5,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1090,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],19/Feb/26,27/Feb/26,,3,,Could (3),infra,Alpha Squad,AIOP-1090,Done,100,3,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1091,Perception & Parking SW Group,,Alpha Squad,user3,PMD_25PI4_Sprint9 [ACTIVE],17/Feb/26,23/Feb/26,,2,,Must (1),data-pipeline,Alpha Squad,AIOP-1091,Blocked,57,,2,22,1,1,0,1,
Story,[Alpha Squad] Sample work item 1092,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint9 [COMPLETED] + Sprint10 [COMPLETED],2/Mar/26,10/Mar/26,,13,,Won't (4),infra,Alpha Squad,AIOP-1092,Done,100,13,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1093,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint9 [ACTIVE],1/Mar/26,10/Mar/26,,8,,Won't (4),tech-debt,Alpha Squad,AIOP-1093,In Progress,66,,8,44,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1094,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint9 [ACTIVE],3/Mar/26,8/Mar/26,,1,,Could (3),,Alpha Squad,AIOP-1094,Blocked,25,,1,70,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1096,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint9 [ACTIVE],24/Feb/26,4/Mar/26,,3,,Won't (4),data-pipeline,Alpha Squad,AIOP-1096,Blocked,26,,3,43,1,1,0,1,
Story,[Alpha Squad] Sample work item 1098,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint10 [ACTIVE],4/Mar/26,13/Mar/26,,5,,Should (2),frontend,Alpha Squad,AIOP-1098,Review,74,,5,45,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1099,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint10 [ACTIVE],5/Mar/26,11/Mar/26,,5,,Could (3),infra,Alpha Squad,AIOP-1099,Funnel,70,,5,36,1,0,0,1,Green
Story,[Alpha Squad] Sample work item 1102,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint10 [COMPLETED],8/Mar/26,14/Mar/26,,13,,Could (3),data-pipeline,Alpha Squad,AIOP-1102,Done,100,13,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1107,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint11 [COMPLETED],20/Mar/26,26/Mar/26,,3,,Could (3),,Alpha Squad,AIOP-1107,Done,100,3,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1109,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint11 [ACTIVE],21/Mar/26,28/Mar/26,,8,,Should (2),frontend,Alpha Squad,AIOP-1109,Blocked,53,,8,22,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1110,Perception & Parking SW Group,,Alpha Squad,user3,PMD_25PI4_Sprint11 [COMPLETED] + Sprint12 [COMPLETED],16/Mar/26,22/Mar/26,,1,,Won't (4),backend,Alpha Squad,AIOP-1110,Done,100,1,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1111,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint11 [ACTIVE],17/Mar/26,25/Mar/26,,1,,Should (2),frontend,Alpha Squad,AIOP-1111,Funnel,17,,1,61,1,0,0,1,
Story,[Alpha Squad] Sample work item 1112,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint11 [COMPLETED],21/Mar/26,29/Mar/26,,,,Could (3),infra,Alpha Squad,AIOP-1112,Done,100,,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1114,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint11 [COMPLETED],1/Apr/26,10/Apr/26,,,,Won't (4),backend,Alpha Squad,AIOP-1114,Done,100,,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1116,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint11 [COMPLETED],24/Mar/26,2/Apr/26,,,,Won't (4),backend,Alpha Squad,AIOP-1116,Done,100,,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1117,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint11 [ACTIVE],30/Mar/26,8/Apr/26,,8,,Won't (4),frontend,Alpha Squad,AIOP-1117,Funnel,68,,8,48,1,0,0,1,Red
Story,[Alpha Squad] Sample work item 1120,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint12 [COMPLETED],3/Apr/26,12/Apr/26,,3,,Could (3),infra,Alpha Squad,AIOP-1120,Done,100,3,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1122,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint12 [COMPLETED],1/Apr/26,8/Apr/26,,,,Should (2),backend,Alpha Squad,AIOP-1122,Done,100,,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1123,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint12 [COMPLETED],5/Apr/26,10/Apr/26,,2,,Could (3),tech-debt,Alpha Squad,AIOP-1123,Done,100,2,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1124,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint12 [ACTIVE],14/Apr/26,23/Apr/26,,3,,Could (3),,Alpha Squad,AIOP-1124,Funnel,19,,3,25,1,0,0,1,Green
Story,[Alpha Squad] Sample work item 1125,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],11/Apr/26,20/Apr/26,,3,,Must (1),infra,Alpha Squad,AIOP-1125,Done,100,3,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1126,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],6/Apr/26,13/Apr/26,,3,,Must (1),tech-debt,Alpha Squad,AIOP-1126,Done,100,3,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1127,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint12 [COMPLETED] + Sprint13 [COMPLETED],11/Apr/26,19/Apr/26,,5,,Won't (4),tech-debt,Alpha Squad,AIOP-1127,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1128,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint12 [ACTIVE],14/Apr/26,20/Apr/26,,8,,Won't (4),,Alpha Squad,AIOP-1128,In Progress,55,,8,42,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1129,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint13 [COMPLETED],20/Apr/26,29/Apr/26,,5,,Should (2),data-pipeline,Alpha Squad,AIOP-1129,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1133,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint13 [ACTIVE],24/Apr/26,2/May/26,,3,,Won't (4),ml,Alpha Squad,AIOP-1133,In Progress,1,,3,37,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1134,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint13 [ACTIVE],25/Apr/26,3/May/26,,8,,Could (3),frontend,Alpha Squad,AIOP-1134,Implementing,61,,8,9,1,1,0,1,
Story,[Alpha Squad] Sample work item 1136,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint13 [ACTIVE],28/Apr/26,5/May/26,,2,,Must (1),infra,Alpha Squad,AIOP-1136,Funnel,72,,2,25,1,0,0,1,Green
Story,[Alpha Squad] Sample work item 1137,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint13 [ACTIVE],25/Apr/26,2/May/26,,,,Should (2),ml,Alpha Squad,AIOP-1137,In Progress,54,,,48,1,1,0,1,
Story,[Beta Squad] Sample work item 1138,Perception & Parking SW Group,,Beta Squad,user4,PMD_25PI4_Sprint1 [COMPLETED],6/Nov/25,21/Nov/25,,1,,Could (3),data-pipeline,Beta Squad,AIOP-1138,Done,100,1,0,100,0,0,1,1,
Story,[Beta Squad] Sample work item 1141,Perception & Parking SW Group,,Beta Squad,user4,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],14/Nov/25,27/Nov/25,,2,,Should (2),ml,Beta Squad,AIOP-1141,Done,100,2,0,100,0,0,1,1,
Story,[Beta Squad] Sample work item 1142,Perception & Parking SW Group,,Beta Squad,user4,PMD_25PI4_Sprint2 [ACTIVE],19/Nov/25,1/Dec/25,,2,,Could (3),tech-debt,Beta Squad,AIOP-1142,Implementing,8,,2,73,1,1,0,1,Green
Story,[Beta Squad] Sample work item 1143,Perception & Parking SW Group,,Beta Squad,user3,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],16/Nov/25,2/Dec/25,,,,Could (3),data-pipeline,Beta Squad,AIOP-1143,Done,100,,0,100,0,0,1,1,Amber
Story,[Beta Squad] Sample work item 1144,Perception & Parking SW Group,,Beta Squad,user3,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],14/Nov/25,1/Dec/25,,2,,Should (2),tech-debt,Beta Squad,AIOP-1144,Done,100,2,0,100,0,0,1,1,Green
Story,[Beta Squad] Sample work item 1146,Perception & Parking SW Group,,Beta Squad,user6,PMD_25PI4_Sprint2 [ACTIVE],23/Nov/25,6/Dec/25,,5,,Must (1),frontend,Beta Squad,AIOP-1146,Blocked,56,,5,69,1,1,0,1,Green
